"Name","SI","Handles","VM","WS","PM","NPM","Path","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","BasePriority","ExitCode","HasExited","ExitTime","Handle","SafeHandle","HandleCount","Id","MachineName","MainWindowHandle","MainWindowTitle","MainModule","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize","NonpagedSystemMemorySize64","PagedMemorySize","PagedMemorySize64","PagedSystemMemorySize","PagedSystemMemorySize64","PeakPagedMemorySize","PeakPagedMemorySize64","PeakWorkingSet","PeakWorkingSet64","PeakVirtualMemorySize","PeakVirtualMemorySize64","PriorityBoostEnabled","PriorityClass","PrivateMemorySize","PrivateMemorySize64","PrivilegedProcessorTime","ProcessName","ProcessorAffinity","Responding","SessionId","StartInfo","StartTime","SynchronizingObject","Threads","TotalProcessorTime","UserProcessorTime","VirtualMemorySize","VirtualMemorySize64","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet","WorkingSet64","Site","Container"
"svchost","0","227","2203418324992","7593984","2777088","13808","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","0.875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4696","Microsoft.Win32.SafeHandles.SafeProcessHandle","227","3084",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","13808","13808","2777088","2777088","122104","122104","3260416","3260416","14544896","14544896","107446272","2203425669120","True","Normal","2777088","2777088","00:00:00.5156250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:11:59",,"System.Diagnostics.ProcessThreadCollection","00:00:00.8750000","00:00:00.3593750","100102144","2203418324992","False",,,,"7593984","7593984",,
"svchost","8","292","2203479973888","22257664","3743744","14952","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","3.96875","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3148","Microsoft.Win32.SafeHandles.SafeProcessHandle","292","3220",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14952","14952","3743744","3743744","230016","230016","4407296","4407296","23945216","23945216","173346816","2203491569664","True","Normal","3743744","3743744","00:00:00.8750000","svchost","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:43:33",,"System.Diagnostics.ProcessThreadCollection","00:00:03.9687500","00:00:03.0937500","161751040","2203479973888","False",,,,"22257664","22257664",,
"svchost","0","426","2203434221568","13058048","12779520","32720","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","36.3125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5784","Microsoft.Win32.SafeHandles.SafeProcessHandle","426","3252",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","32720","32720","12779520","12779520","115216","115216","16257024","16257024","25571328","25571328","129990656","2203448213504","True","Normal","12779520","12779520","00:00:16.8437500","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:01",,"System.Diagnostics.ProcessThreadCollection","00:00:36.3125000","00:00:19.4687500","115998720","2203434221568","False",,,,"13058048","13058048",,
"svchost","0","184","2203400003584","2772992","2150400","10816","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","5.640625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6920","Microsoft.Win32.SafeHandles.SafeProcessHandle","184","3324",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","10816","10816","2150400","2150400","84288","84288","2326528","2326528","8593408","8593408","83881984","2203402104832","True","Normal","2150400","2150400","00:00:02.6406250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:02",,"System.Diagnostics.ProcessThreadCollection","00:00:05.6406250","00:00:03","81780736","2203400003584","False",,,,"2772992","2772992",,
"svchost","0","114","2203387256832","1757184","1339392","7744","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.3125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5868","Microsoft.Win32.SafeHandles.SafeProcessHandle","114","3516",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7744","7744","1339392","1339392","62112","62112","1511424","1511424","6205440","6205440","71655424","2203389878272","True","Normal","1339392","1339392","00:00:00.0781250","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3125000","00:00:00.2343750","69033984","2203387256832","False",,,,"1757184","1757184",,
"svchost","0","558","2203506921472","29798400","25243648","25280","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","61.28125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4268","Microsoft.Win32.SafeHandles.SafeProcessHandle","558","3524",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","25280","25280","25243648","25243648","182384","182384","64229376","64229376","79138816","79138816","203874304","2203522097152","True","Normal","25243648","25243648","00:00:28.2500000","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:01:01.2812500","00:00:33.0312500","188698624","2203506921472","False",,,,"29798400","29798400",,
"svchost","0","175","2203395772416","2007040","2416640","7336","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","8.40625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3660","Microsoft.Win32.SafeHandles.SafeProcessHandle","175","3532",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","7336","7336","2416640","2416640","59816","59816","2416640","2416640","6500352","6500352","79122432","2203397345280","True","Normal","2416640","2416640","00:00:03.2187500","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:00:08.4062500","00:00:05.1875000","77549568","2203395772416","False",,,,"2007040","2007040",,
"svchost","8","513","2203528269824","36737024","9191424","24576","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","4.984375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"3352","Microsoft.Win32.SafeHandles.SafeProcessHandle","513","3540",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","24576","24576","9191424","9191424","343616","343616","10063872","10063872","39641088","39641088","218337280","2203536560128","True","Normal","9191424","9191424","00:00:01.1093750","svchost","15","True","8","System.Diagnostics.ProcessStartInfo","22-12-2022 07:43:25",,"System.Diagnostics.ProcessThreadCollection","00:00:04.9843750","00:00:03.8750000","210046976","2203528269824","False",,,,"36737024","36737024",,
"svchost","0","505","2203574460416","12103680","8044544","27032","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","40.625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"4912","Microsoft.Win32.SafeHandles.SafeProcessHandle","505","3544",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","27032","27032","8044544","8044544","130568","130568","36044800","36044800","42213376","42213376","673415168","2203991638016","True","Normal","8044544","8044544","00:00:21.7343750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:00:40.6250000","00:00:18.8906250","256237568","2203574460416","False",,,,"12103680","12103680",,
"svchost","0","374","2203618185216","41644032","48472064","22192","C:\WINDOWS\System32\svchost.exe","Microsoft Corporation","394.0625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6468","Microsoft.Win32.SafeHandles.SafeProcessHandle","374","3552",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22192","22192","48472064","48472064","145544","145544","118083584","118083584","113123328","113123328","459132928","2203777355776","True","Normal","48472064","48472064","00:03:01.4843750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:06:34.0625000","00:03:32.5781250","299962368","2203618185216","False",,,,"41644032","41644032",,
"svchost","0","388","2203427450880","12750848","12120064","14920","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","83.265625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5460","Microsoft.Win32.SafeHandles.SafeProcessHandle","388","3596",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","14920","14920","12120064","12120064","112976","112976","17092608","17092608","26386432","26386432","123392000","2203441614848","True","Normal","12120064","12120064","00:00:19.0468750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:01:23.2656250","00:01:04.2187500","109228032","2203427450880","False",,,,"12750848","12750848",,
"svchost","0","430","2203446292480","12128256","6021120","22112","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","3.359375","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5860","Microsoft.Win32.SafeHandles.SafeProcessHandle","430","3668",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","22112","22112","6021120","6021120","179896","179896","6598656","6598656","21671936","21671936","138031104","2203456253952","True","Normal","6021120","6021120","00:00:01.5468750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:14:53",,"System.Diagnostics.ProcessThreadCollection","00:00:03.3593750","00:00:01.8125000","128069632","2203446292480","False",,,,"12128256","12128256",,
"svchost","0","136","2203391574016","1253376","1699840","8944","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.328125","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"5964","Microsoft.Win32.SafeHandles.SafeProcessHandle","136","3692",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8944","8944","1699840","1699840","70752","70752","1941504","1941504","7254016","7254016","77025280","2203395248128","True","Normal","1699840","1699840","00:00:00.1093750","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:12:03",,"System.Diagnostics.ProcessThreadCollection","00:00:00.3281250","00:00:00.2187500","73351168","2203391574016","False",,,,"1253376","1253376",,
"svchost","0","125","2203388825600","3350528","1646592","8424","C:\WINDOWS\system32\svchost.exe","Microsoft Corporation","0.40625","10.0.19041.1 (WinBuild.160101.0800)","10.0.19041.1","Host Process for Windows Services","Microsoft? Windows? Operating System","Process","8",,"False",,"6768","Microsoft.Win32.SafeHandles.SafeProcessHandle","125","3732",".","0","","System.Diagnostics.ProcessModule (svchost.exe)","1413120","204800","System.Diagnostics.ProcessModuleCollection","8424","8424","1646592","1646592","64824","64824","1814528","1814528","7745536","7745536","74657792","2203392880640","True","Normal","1646592","1646592","00:00:00.0625000","svchost","15","True","0","System.Diagnostics.ProcessStartInfo","15-12-2022 18:13:20",,"System.Diagnostics.ProcessThreadCollection","00:00:00.4062500","00:00:00.3437500","70602752","2203388825600","False",,,,"3350528","3350528",,
